x,y,z
-1,0,25
-1,0,25
-1,0,25
-1,0,25
-1,1,29
-1,1,29
-1,1,29
-1,1,29
0,3,32
0,3,32
0,3,32
0,3,32
0,3,35
0,3,35
0,3,35
0,3,35
0,4,37
0,4,37
0,4,37
0,4,37
2,5,40
2,5,40
2,5,40
2,5,40
4,5,43
4,5,43
4,5,43
4,5,43
5,5,45
5,5,45
5,5,45
5,5,45
7,4,48
7,4,48
7,4,48
7,4,48
9,4,50
9,4,50
9,4,50
9,4,50
9,3,52
9,3,52
9,3,52
9,3,52
10,3,52
10,3,52
10,3,52
10,3,52
9,3,53
9,3,53
9,3,53
9,3,53
9,2,53
9,2,53
9,2,53
9,2,53
10,3,53
10,3,53
10,3,53
10,3,53
10,4,54
10,4,54
10,4,54
10,4,54
12,5,55
12,5,55
12,5,55
12,5,55
12,5,57
12,5,57
12,5,57
12,5,57
11,5,58
11,5,58
11,5,58
11,5,58
10,6,59
10,6,59
10,6,59
10,6,59
9,7,59
9,7,59
9,7,59
9,7,59
9,8,58
9,8,58
9,8,58
9,8,58
9,9,57
9,9,57
9,9,57
9,9,57
9,9,57
9,9,57
9,9,57
9,9,57
9,8,57
9,8,57
9,8,57
9,8,57
9,8,57
9,8,57
9,8,57
9,8,57
8,7,57
8,7,57
8,7,57
8,7,57
8,8,56
8,8,56
8,8,56
8,8,56
8,8,55
8,8,55
8,8,55
8,8,55
8,8,54
8,8,54
8,8,54
8,8,54
8,8,53
8,8,53
8,8,53
8,8,53
7,7,52
7,7,52
7,7,52
7,7,52
7,7,51
7,7,51
7,7,51
7,7,51
6,7,50
6,7,50
6,7,50
6,7,50
5,7,49
5,7,49
5,7,49
5,7,49
4,7,49
4,7,49
4,7,49
4,7,49
4,7,47
4,7,47
4,7,47
4,7,47
4,7,47
3,6,45
3,6,45
3,6,45
3,6,45
3,5,42
3,5,42
3,5,42
3,5,42
3,5,40
3,5,40
3,5,40
3,5,40
2,4,39
2,4,39
2,4,39
2,4,39
1,4,39
1,4,39
1,4,39
1,4,39
0,4,37
0,4,37
0,4,37
0,4,37
0,3,35
0,3,35
0,3,35
0,3,35
-1,3,32
-1,3,32
-1,3,32
-1,3,32
-1,3,29
-1,3,29
-1,3,29
-1,3,29
-1,2,26
-1,2,26
-1,2,26
-1,2,26
-1,1,23
-1,1,23
-1,1,23
-1,1,23
0,1,20
0,1,20
0,1,20
0,1,20
0,0,17
0,0,17
0,0,17
0,0,17
0,0,14
0,0,14
0,0,14
0,0,14
0,0,11
0,0,11
0,0,11
0,0,11
-1,0,8
-1,0,8
-1,0,8
-1,0,8
-2,0,6
-2,0,6
-2,0,6
-2,0,6
-3,0,3
-3,0,3
-3,0,3
-3,0,3
-3,0,0
-3,0,0
-3,0,0
-3,0,0
-3,1,-3
-3,1,-3
-3,1,-3
-3,1,-3
-3,1,-9
-3,1,-9
-3,1,-9
-3,1,-9
-3,2,-14
-3,2,-14
-3,2,-14
-3,2,-14
-2,2,-19
-2,2,-19
-2,2,-19
-2,2,-19
-2,1,-22
-2,1,-22
-2,1,-22
-1,0,-23
-1,0,-23
-1,0,-23
-1,0,-23
0,0,-24
0,0,-24
0,0,-24
0,0,-24
1,-2,-25
1,-2,-25
1,-2,-25
1,-2,-25
3,-3,-27
3,-3,-27
3,-3,-27
3,-3,-27
3,-4,-27
3,-4,-27
3,-4,-27
3,-5,-29
3,-5,-29
3,-5,-29
3,-5,-29
2,-5,-30
2,-5,-30
2,-5,-30
2,-5,-30
1,-5,-32
1,-5,-32
1,-5,-32
1,-5,-32
0,-5,-34
0,-5,-34
0,-5,-34
0,-5,-34
0,-5,-36
0,-5,-36
0,-5,-36
-1,-4,-38
-1,-4,-38
-1,-4,-38
-1,-4,-38
-2,-3,-39
-2,-3,-39
-2,-3,-39
-2,-3,-39
-2,-3,-40
-2,-3,-40
-2,-3,-40
-3,-3,-41
-3,-3,-41
-3,-3,-41
-3,-3,-41
-5,-3,-42
-5,-3,-42
-5,-3,-42
-5,-3,-42
-6,-3,-42
-6,-3,-42
-6,-3,-42
-6,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-7,-3,-43
-6,-4,-44
-6,-4,-44
-6,-4,-44
-7,-4,-44
-7,-4,-44
-7,-4,-44
-7,-4,-44
-7,-4,-46
-7,-4,-46
-7,-4,-46
-7,-4,-46
-7,-5,-47
-7,-5,-47
-7,-5,-47
-6,-6,-47
-6,-6,-47
-6,-6,-47
-6,-6,-47
-5,-7,-47
-5,-7,-47
-5,-7,-47
-5,-7,-47
-5,-8,-45
-5,-8,-45
-5,-8,-45
-5,-9,-44
-5,-9,-44
-5,-9,-44
-5,-9,-44
-6,-9,-43
-6,-9,-43
-6,-9,-43
-6,-9,-43
-6,-10,-43
-6,-10,-43
-6,-10,-43
-7,-10,-43
-7,-10,-43
-7,-10,-43
-7,-10,-43
-7,-10,-42
-7,-10,-42
-7,-10,-42
-7,-10,-42
-7,-10,-42
-7,-10,-42
-7,-10,-42
-7,-10,-41
-7,-10,-41
-7,-10,-41
-7,-10,-41
-7,-11,-41
-7,-11,-41
-7,-11,-41
-6,-12,-41
-6,-12,-41
-6,-12,-41
-6,-12,-41
-7,-12,-40
-7,-12,-40
-7,-12,-40
-7,-12,-39
-7,-12,-39
-7,-12,-39
-7,-12,-39
-7,-11,-38
-7,-11,-38
-7,-11,-38
-6,-11,-37
-6,-11,-37
-6,-11,-37
-6,-11,-37
-6,-11,-36
-6,-11,-36
-6,-11,-36
-6,-11,-34
-6,-11,-34
-6,-11,-34
-6,-11,-34
-6,-11,-32
-6,-11,-32
-6,-11,-32
-6,-11,-32
-5,-11,-30
-5,-11,-30
-5,-11,-30
-4,-10,-28
-4,-10,-28
-4,-10,-28
-4,-10,-28
-4,-10,-27
-4,-10,-27
-4,-10,-27
-4,-9,-26
-4,-9,-26
-4,-9,-26
-4,-9,-26
-3,-8,-25
-3,-8,-25
-3,-8,-25
-3,-8,-25
-4,-6,-25
-4,-6,-25
-4,-6,-25
-4,-5,-24
-4,-5,-24
-4,-5,-24
-4,-5,-24
-4,-4,-22
-4,-4,-22
-4,-4,-22
-4,-4,-22
-3,-3,-20
-3,-3,-20
-3,-3,-20
-2,-3,-17
-2,-3,-17
-2,-3,-17
-2,-3,-17
-2,-4,-15
-2,-4,-15
-2,-4,-15
-2,-4,-15
-2,-4,-14
-2,-4,-14
-2,-4,-14
-3,-3,-14
-3,-3,-14
-3,-3,-14
-3,-3,-14
-2,-3,-13
-2,-3,-13
-2,-3,-13
-2,-3,-13
-1,-3,-11
-1,-3,-11
-1,-3,-11
0,-4,-9
0,-4,-9
0,-4,-9
0,-4,-9
1,-4,-6
1,-4,-6
1,-4,-6
1,-4,-6
1,-5,-4
1,-5,-4
1,-5,-4
1,-5,-4
0,-4,-2
0,-4,-2
0,-4,-2
0,-4,-2
0,-3,-1
0,-3,-1
0,-3,-1
0,-3,-1
0,-2,0
0,-2,0
0,-2,0
0,-2,0
0,-1,1
0,-1,1
0,-1,1
0,-1,1
0,0,3
0,0,3
0,0,3
0,0,3
0,0,5
0,0,5
0,0,5
0,0,5
0,0,5
0,0,7
0,0,7
0,0,7
0,0,7
0,0,9
0,0,9
0,0,9
0,0,9
0,0,12
0,0,12
0,0,12
0,0,12
1,0,15
1,0,15
1,0,15
1,0,15
1,0,19
1,0,19
1,0,19
1,0,19
1,0,22
1,0,22
1,0,22
1,0,22
0,0,25
0,0,25
0,0,25
0,0,25
0,0,28
0,0,28
0,0,28
0,0,28
0,1,30
0,1,30
0,1,30
0,1,30
0,2,33
0,2,33
0,2,33
